City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
218,Ganta,LR,61.81,clear sky,7.3022,-8.5308,
223,Tessalit,ML,62.06,few clouds,20.1986,1.0114,
224,Aripuana,BR,72.55,light rain,-9.1667,-60.6333,
225,Isiro,CD,68.41,overcast clouds,2.7739,27.616,Guest House Hewa Bora
228,Porbandar,IN,73.38,clear sky,21.6422,69.6093,Lords Inn Porbandar
229,Bhikangaon,IN,67.21,clear sky,21.8667,75.95,Vaishno Devi Mandir shakuntala niwas
234,Palora,EC,66.06,light rain,-1.7,-77.9333,Rancho grande
241,Mitu,CO,72.54,overcast clouds,1.1983,-70.1733,
242,Kibaya,TZ,57.72,moderate rain,-5.3,36.5667,Lusaka Hotel
245,Poli,TZ,59.85,overcast clouds,-3.3333,36.8,Urafiki House
251,Sawakin,SD,67.55,overcast clouds,19.1059,37.3321,فندق الدويم
254,Aswan,EG,50.61,clear sky,24.0934,32.907,Nuba Nile
255,Nouadhibou,MR,68.43,broken clouds,20.931,-17.0347,El Medina
258,Sao Raimundo Nonato,BR,70.09,broken clouds,-9.0153,-42.6994,Real Hotel
262,Filadelfia,US,55.29,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
273,Inhambane,MZ,74.37,clear sky,-23.865,35.3833,Oceano
277,East Stroudsburg,US,53.08,overcast clouds,40.9995,-75.1813,Hampton Inn Stroudsburg/Poconos
283,Rocha,UY,67.82,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
287,Sesheke,ZM,63.75,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
289,Jashpurnagar,IN,63.64,broken clouds,22.9,84.15,Sagar Restaurant
290,Envira,BR,72.3,moderate rain,-7.3,-70.2167,
291,Coihaique,CL,52.41,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
292,Iranshahr,IR,55.74,clear sky,27.2025,60.6848,نیک سرشت
293,Mongu,ZM,66.07,overcast clouds,-15.2484,23.1274,Country Lodge Mongu
296,Rusape,ZW,56.61,scattered clouds,-18.5278,32.1284,Surrey Lodge
297,Tombouctou,ML,57.07,broken clouds,20.0,-3.0,
300,Abu Dhabi,AE,66.22,clear sky,24.4667,54.3667,Beach Rotana
301,Bandar-E Lengeh,IR,59.11,clear sky,26.5579,54.8807,کافی نت پارس
303,Pilibanga,IN,63.3,clear sky,29.4916,74.079,Sharma Bhawan
304,Dalbandin,PK,60.53,clear sky,28.8947,64.4101,Gidaan Guest House
305,Rubiataba,BR,67.42,overcast clouds,-15.1644,-49.8033,Pousada dos anjos
307,Sanchor,IN,67.98,clear sky,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
308,Kuruman,ZA,69.87,broken clouds,-27.4524,23.4325,Cornerstone Guest House
309,Gallipoli,TR,51.22,clear sky,40.4103,26.6708,Oya Hotel
314,Pangoa,PE,69.06,overcast clouds,-12.1167,-73.0,
315,San Cristobal,VE,68.18,broken clouds,7.7669,-72.225,Pirineos
316,Cristalina,BR,62.35,overcast clouds,-16.7686,-47.6136,HOTEL TOPAZIO
317,Alta Floresta,BR,71.44,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
321,Barentu,ER,63.52,clear sky,15.1139,37.5928,
326,Tanout,NE,55.78,clear sky,14.9709,8.8879,
327,Najran,SA,56.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
328,Aconibe,GQ,67.82,broken clouds,1.2968,10.9369,
331,Bealanana,MG,65.64,few clouds,-14.55,48.7333,
332,Boa Esperanca,BR,65.14,overcast clouds,-21.09,-45.5658,Hotel do Lago
333,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
334,Bati,ET,58.46,clear sky,11.1833,40.0167,Adi 01 Kebele
339,Gwembe,ZM,62.92,light rain,-16.4975,27.6069,
340,Lauro Muller,BR,65.71,scattered clouds,-28.3928,-49.3967,Hotel Chaminé
354,Antofagasta,CL,65.48,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
355,Cuenca,EC,57.33,overcast clouds,-2.8833,-78.9833,Hotel Cuenca
361,Lagoa Formosa,BR,67.01,overcast clouds,-18.7786,-46.4075,Lagoa Hotel
362,Richards Bay,ZA,70.25,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
365,Bahia Blanca,AR,57.18,clear sky,-38.7196,-62.2724,Hotel Argos
369,Kuito,AO,57.34,overcast clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
371,Formosa,AR,73.38,moderate rain,-26.1775,-58.1781,Asterión Hotel
374,Tumbi,TZ,63.73,overcast clouds,-5.0667,32.7333,
375,Macas,EC,68.14,light rain,-2.3167,-78.1167,Casa Upano
376,Telhara,IN,69.69,clear sky,21.0269,76.8389,Umesh Pande
378,Hillsborough,US,66.9,few clouds,37.5741,-122.3794,Hyatt Regency San Francisco Airport
381,Beneditinos,BR,74.53,overcast clouds,-5.45,-42.3667,"Pousada, Pesque-Pague e Churrascaria Cabo Miguel"
385,Vallenar,CL,67.57,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
386,Dourbali,TD,62.67,broken clouds,11.8091,15.8632,
387,Santa Barbara,US,59.4,haze,34.7333,-120.0343,Upper Ballard Campground
390,Los Llanos De Aridane,ES,62.35,overcast clouds,28.6585,-17.9182,Valle Aridane
391,Pimentel,PE,71.24,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
394,Kaoma,ZM,62.98,overcast clouds,-14.7833,24.8,KAOMA AIRPORT
395,Koumra,TD,70.57,clear sky,8.9126,17.5539,Yamtoide house koumra
400,Bagula,IN,70.09,clear sky,23.3167,88.65,Rajesh
401,Wilmington,US,55.85,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
402,Bocaiuva,BR,69.51,overcast clouds,-17.1078,-43.815,Hotel Maxim's
405,Chimbarongo,CL,63.48,clear sky,-34.7,-71.05,Hostal Ruka Kamañ
412,Diamantino,BR,70.86,overcast clouds,-14.4086,-56.4461,Hotel Delta
413,La Union,PE,73.18,scattered clouds,-5.4,-80.75,Los Portales
416,Tansen,NP,53.65,clear sky,27.8673,83.5467,Taksar Stay
419,Ancud,CL,53.42,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
423,Gitarama,RW,58.46,overcast clouds,-2.0744,29.7567,Muhanga in Cyakabiri Motel
426,Kipushi,CD,59.72,overcast clouds,-11.7667,27.2333,Villa Madimba
429,Bandundu,CD,73.09,light rain,-3.3167,17.3667,Coja Color
430,Beterou,BJ,71.6,broken clouds,9.1992,2.2586,Monastère de Kokoubou
431,Camabatela,AO,59.54,overcast clouds,-8.1881,15.375,Pensão E Restaurantes
432,Mangai,CD,71.69,light rain,-4.05,19.5333,
433,Jaguaruna,BR,68.94,light rain,-28.615,-49.0256,Pousada Recanto das Flores Jaguaruna
435,Vilhena,BR,69.69,overcast clouds,-12.7406,-60.1458,Hotel Mirage
436,Mpika,ZM,60.08,overcast clouds,-11.8343,31.4529,Melodies Lodge
437,Arona,ES,59.31,clear sky,28.0996,-16.681,Paradise Court
