City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Manadhoo,MV,5.7667,73.3833,81.12,77,100,12.03,moderate rain
123,Porto Novo,BJ,6.4965,2.6036,82.22,92,6,3.85,clear sky
124,Maltahohe,NA,-24.8333,16.9833,68.49,72,100,6.91,light rain
125,Khandbari,NP,27.3747,87.2039,57.33,47,0,2.95,clear sky
126,Beloha,MG,-25.1667,45.05,75.65,85,32,11.97,scattered clouds
127,Laguna,US,38.421,-121.4238,64.22,75,0,1.01,clear sky
128,Marsh Harbour,BS,26.5412,-77.0636,74.16,84,100,12.93,overcast clouds
129,Havelock,US,34.8791,-76.9013,58.95,82,100,6.35,overcast clouds
130,Kutum,SD,14.2,24.6667,50.14,24,9,5.37,clear sky
131,Salalah,OM,17.0151,54.0924,73.49,64,40,5.75,scattered clouds
132,Madaba,JO,31.5833,35.6667,42.71,71,0,6.24,clear sky
133,San Francisco De Becerra,HN,14.6333,-86.1,67.64,96,13,3.42,few clouds
134,Port-Gentil,GA,-0.7193,8.7815,80.2,81,99,10.07,overcast clouds
135,Englewood,US,39.6478,-104.9878,29.98,90,100,11.5,snow
136,Upernavik,GL,72.7868,-56.1549,-9.02,83,100,16.31,overcast clouds
137,Big Rapids,US,43.6981,-85.4837,26.91,82,100,9.22,overcast clouds
138,Abaetetuba,BR,-1.7181,-48.8825,77.04,94,99,4.74,overcast clouds
139,Hofn,IS,64.2539,-15.2082,25.38,72,100,22.5,overcast clouds
140,Carutapera,BR,-1.195,-46.02,76.03,92,95,6.22,overcast clouds
141,Geraldton,AU,-28.7667,114.6,84.61,51,30,17.27,scattered clouds
142,Hobyo,SO,5.3505,48.5268,76.66,63,100,15.1,overcast clouds
143,Porto Santo,PT,33.072,-16.3415,62.98,82,75,14.97,broken clouds
144,Talnakh,RU,69.4865,88.3972,-10.17,84,98,9.71,overcast clouds
145,Nanortalik,GL,60.1432,-45.2371,29.59,77,100,13.24,overcast clouds
146,Bonavista,CA,48.6499,-53.1147,35.11,75,8,16.04,clear sky
147,Oranjemund,NA,-28.55,16.4333,66.27,82,100,13.18,light rain
148,Coquimbo,CL,-29.9533,-71.3436,64.13,82,0,2.3,clear sky
149,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,71.1,93,82,1.59,broken clouds
150,Olafsvik,IS,64.8945,-23.7142,27.5,74,100,24.81,overcast clouds
151,Sao Filipe,CV,14.8961,-24.4956,79.3,46,98,14.41,overcast clouds
152,Atar,MR,20.5169,-13.0499,64.02,21,83,8.63,broken clouds
153,Veles,MK,41.7156,21.7756,27.05,75,64,5.95,broken clouds
154,Pelym,RU,61.0108,61.9978,4.42,96,100,8.21,light snow
155,Agadez,NE,19.75,10.25,54.81,29,0,5.03,clear sky
156,Santander,ES,43.4647,-3.8044,45.46,73,99,4.0,overcast clouds
157,Yar-Sale,RU,66.8333,70.8333,-2.4,82,100,16.51,overcast clouds
158,Schrobenhausen,DE,48.55,11.2667,31.28,97,8,0.0,clear sky
159,Bonthe,SL,7.5264,-12.505,75.49,94,21,3.96,few clouds
160,Zuya,UA,45.0531,34.3154,35.38,74,9,5.23,clear sky
161,Villablino,ES,42.9393,-6.3194,39.65,89,100,3.67,overcast clouds
162,Sisimiut,GL,66.9395,-53.6735,23.97,87,100,9.6,light snow
163,Barroquinha,BR,-3.0189,-41.1361,72.95,96,99,4.34,overcast clouds
164,Saint-Honore,CA,48.5334,-71.0824,28.29,84,100,8.28,snow
165,Moose Factory,CA,51.2585,-80.6094,-14.8,70,100,10.36,haze
166,Saint-Philippe,RE,-21.3585,55.7679,80.19,69,64,5.68,broken clouds
167,Muisne,EC,0.6,-80.0333,76.15,86,83,4.05,broken clouds
168,Yola,NG,9.2,12.4833,67.35,20,10,1.39,clear sky
169,Cayenne,GF,4.9333,-52.3333,79.09,86,77,3.44,broken clouds
170,Jaguarari,BR,-10.2639,-40.1958,71.04,75,61,2.86,broken clouds
171,Kiruna,SE,67.8557,20.2251,4.12,85,20,12.66,few clouds
172,Ostrovnoy,RU,68.0531,39.5131,14.74,96,97,7.27,overcast clouds
173,Surt,LY,31.2089,16.5887,53.85,65,79,10.67,broken clouds
174,Torbay,CA,47.6666,-52.7314,34.57,91,75,13.8,broken clouds
